document_uri,expected_title,expected_date,bill_number,speech_source,quality_status,source_present,title_matches,date_matches,source_xml_nonempty,source_text_nonempty,akn_status,speech_rows,participation_rows,analytical_transcription_event_rows,full_rows,transcription_event_rows,overlap_event_rows,separator_event_rows,empty_content_rows,missing_date_rows,missing_uri_rows,unexpected_bill_rows,duplicate_item_path_rows,duplicate_row_index_rows,duplicate_utterance_id_rows,duplicate_utterance_order_rows,n_chars_mismatch_rows,unresolved_identity_rows,unstable_bcn_speaker_id_rows,local_primary_speaker_id_rows,unresolved_content_rows,parse_warning_rows,discussion_rows,voting_rows,analytical_voting_rows,identity_only_speaker_rows,missing_speaker_data_rows,issues,warnings
http://datos.bcn.cl/recurso/cl/documento/697505,1.7. Discusión en Sala,2022-01-03,14588-13,akn,pass,True,True,True,True,True,valid_xml,55,55,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[]
http://datos.bcn.cl/recurso/cl/documento/696951,2.3. Discusión en Sala,2022-01-24,14588-13,akn,warning,True,True,True,True,True,valid_xml,229,219,10,270,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,[],['unresolved_content_rows=3']
http://datos.bcn.cl/recurso/cl/documento/698998,3.1. Discusión en Sala,2022-01-26,14588-13,akn,pass,True,True,True,True,True,valid_xml,46,43,3,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[]
