document_uri,date,person_href,speaker,role,current_party,party_at_date,party_at_date_status,militancy_at_date_status,affiliation_data_status,affiliation_error
http://datos.bcn.cl/recurso/cl/documento/696951,2022-01-24,,,,,,unknown,not_available,not_in_affiliation_table,
http://datos.bcn.cl/recurso/cl/documento/697505,2022-01-03,,,,,,unknown,not_available,not_in_affiliation_table,
http://datos.bcn.cl/recurso/cl/documento/698998,2022-01-26,,ASCENCIO,Presidente accidental,,,unknown,not_available,not_in_affiliation_table,
