law,stage,concept_id,intervenciones_con_concepto,intervenciones,proporcion,concept_label,short_label
Ley 21.419,Tercer Trámite Constitucional,prevision_como_mercado,3,28,0.10714285714285714,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.419,Tercer Trámite Constitucional,propiedad_individual_fondos,0,28,0,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.419,Tercer Trámite Constitucional,reciprocidad_contributiva,5,28,0.17857142857142858,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.419,Tercer Trámite Constitucional,solidaridad_intergeneracional,1,28,0.03571428571428571,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.419,Tercer Trámite Constitucional,solidaridad_previsional_colectiva,3,28,0.10714285714285714,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.538,Primer Trámite Constitucional,actitud,0,39,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.538,Primer Trámite Constitucional,acuerdos_moderacion,5,39,0.1282051282051282,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.538,Primer Trámite Constitucional,capitalizacion_individual,0,39,0,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.538,Primer Trámite Constitucional,conciencia_costos,4,39,0.10256410256410256,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.538,Primer Trámite Constitucional,control_responsabilidad_individual,0,39,0,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.538,Primer Trámite Constitucional,identidad,7,39,0.1794871794871795,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.538,Primer Trámite Constitucional,igualdad_universalismo,19,39,0.48717948717948717,Igualdad y universalismo,Igualdad y universalismo
Ley 21.538,Primer Trámite Constitucional,ilegitimidad_origen_dictatorial,1,39,0.02564102564102564,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.538,Primer Trámite Constitucional,ineficiencia_estado,0,39,0,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.538,Primer Trámite Constitucional,libertad_eleccion_previsional,2,39,0.05128205128205128,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.538,Primer Trámite Constitucional,necesidad_material,19,39,0.48717948717948717,Necesidad material,Necesidad material
Ley 21.538,Primer Trámite Constitucional,prevision_como_mercado,7,39,0.1794871794871795,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.538,Primer Trámite Constitucional,propiedad_individual_fondos,0,39,0,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.538,Primer Trámite Constitucional,reciprocidad_contributiva,10,39,0.2564102564102564,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.538,Primer Trámite Constitucional,solidaridad_intergeneracional,0,39,0,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.538,Primer Trámite Constitucional,solidaridad_previsional_colectiva,2,39,0.05128205128205128,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.538,Segundo Trámite Constitucional,actitud,0,17,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.538,Segundo Trámite Constitucional,acuerdos_moderacion,1,17,0.058823529411764705,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.538,Segundo Trámite Constitucional,capitalizacion_individual,0,17,0,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.538,Segundo Trámite Constitucional,conciencia_costos,2,17,0.11764705882352941,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.538,Segundo Trámite Constitucional,control_responsabilidad_individual,0,17,0,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.538,Segundo Trámite Constitucional,identidad,3,17,0.17647058823529413,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.538,Segundo Trámite Constitucional,igualdad_universalismo,8,17,0.47058823529411764,Igualdad y universalismo,Igualdad y universalismo
Ley 21.538,Segundo Trámite Constitucional,ilegitimidad_origen_dictatorial,0,17,0,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.538,Segundo Trámite Constitucional,ineficiencia_estado,0,17,0,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.538,Segundo Trámite Constitucional,libertad_eleccion_previsional,0,17,0,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.538,Segundo Trámite Constitucional,necesidad_material,6,17,0.35294117647058826,Necesidad material,Necesidad material
Ley 21.538,Segundo Trámite Constitucional,prevision_como_mercado,1,17,0.058823529411764705,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.538,Segundo Trámite Constitucional,propiedad_individual_fondos,0,17,0,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.538,Segundo Trámite Constitucional,reciprocidad_contributiva,1,17,0.058823529411764705,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.538,Segundo Trámite Constitucional,solidaridad_intergeneracional,0,17,0,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.538,Segundo Trámite Constitucional,solidaridad_previsional_colectiva,0,17,0,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.735,Primer Trámite Constitucional,actitud,1,126,0.007936507936507936,Actitud del beneficiario,Actitud del beneficiario
Ley 21.735,Primer Trámite Constitucional,acuerdos_moderacion,29,126,0.23015873015873015,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.735,Primer Trámite Constitucional,capitalizacion_individual,31,126,0.24603174603174602,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.735,Primer Trámite Constitucional,conciencia_costos,22,126,0.1746031746031746,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.735,Primer Trámite Constitucional,control_responsabilidad_individual,2,126,0.015873015873015872,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.735,Primer Trámite Constitucional,identidad,14,126,0.1111111111111111,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.735,Primer Trámite Constitucional,igualdad_universalismo,16,126,0.12698412698412698,Igualdad y universalismo,Igualdad y universalismo
Ley 21.735,Primer Trámite Constitucional,ilegitimidad_origen_dictatorial,15,126,0.11904761904761904,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.735,Primer Trámite Constitucional,ineficiencia_estado,27,126,0.21428571428571427,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.735,Primer Trámite Constitucional,libertad_eleccion_previsional,17,126,0.1349206349206349,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.735,Primer Trámite Constitucional,necesidad_material,47,126,0.373015873015873,Necesidad material,Necesidad material
Ley 21.735,Primer Trámite Constitucional,prevision_como_mercado,48,126,0.38095238095238093,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.735,Primer Trámite Constitucional,propiedad_individual_fondos,30,126,0.23809523809523808,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.735,Primer Trámite Constitucional,reciprocidad_contributiva,33,126,0.2619047619047619,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.735,Primer Trámite Constitucional,solidaridad_intergeneracional,10,126,0.07936507936507936,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.735,Primer Trámite Constitucional,solidaridad_previsional_colectiva,10,126,0.07936507936507936,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.735,Segundo Trámite Constitucional,actitud,0,67,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.735,Segundo Trámite Constitucional,acuerdos_moderacion,34,67,0.5074626865671642,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.735,Segundo Trámite Constitucional,capitalizacion_individual,23,67,0.34328358208955223,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.735,Segundo Trámite Constitucional,conciencia_costos,25,67,0.373134328358209,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.735,Segundo Trámite Constitucional,control_responsabilidad_individual,2,67,0.029850746268656716,Control y responsabilidad individual,"Control y responsabilidad
individual"
