law,old_unit_id,new_unit_id,old_sha256,new_sha256,old_words,new_words
21538,utt_70fd4b08a107b6a71789::p0001-p0002,utt_70fd4b08a107b6a71789::p0001-p0002,ac9432a0f1c098f7f4eb394dca62b89744ee7d20d4735678432662ff4b1fd2f8,ac9432a0f1c098f7f4eb394dca62b89744ee7d20d4735678432662ff4b1fd2f8,97,97
21538,utt_70fd4b08a107b6a71789::p0003,utt_70fd4b08a107b6a71789::p0003,4427f4f942777ac04f3517cf48739454a7f014f7b5ae29b3ad48e1ee9dd609ed,4427f4f942777ac04f3517cf48739454a7f014f7b5ae29b3ad48e1ee9dd609ed,52,52
21538,utt_70fd4b08a107b6a71789::p0004-p0005,utt_70fd4b08a107b6a71789::p0004-p0005,902f2faab59a18a5c3ed215fe15bd638b9737f853d30633a25a03f29fdf7c784,902f2faab59a18a5c3ed215fe15bd638b9737f853d30633a25a03f29fdf7c784,92,92
21538,utt_70fd4b08a107b6a71789::p0006,utt_70fd4b08a107b6a71789::p0006,2ecc43ccf38d4a0d55c5655b2d5cc8266a78b82fb1aef0d643bfc5fec0df27be,2ecc43ccf38d4a0d55c5655b2d5cc8266a78b82fb1aef0d643bfc5fec0df27be,131,131
21538,utt_70fd4b08a107b6a71789::p0007-p0008,utt_70fd4b08a107b6a71789::p0007-p0008,0fe5364a3cc49c99b306e54681fcc928555253de23e3f0b06171443c6c0e73ff,0fe5364a3cc49c99b306e54681fcc928555253de23e3f0b06171443c6c0e73ff,96,96
21538,utt_70fd4b08a107b6a71789::p0009-p0010,utt_70fd4b08a107b6a71789::p0009-p0010,fb86f6038315995a2587ccf32cd2ecabb5d459caacc6163d4af755010552637e,fb86f6038315995a2587ccf32cd2ecabb5d459caacc6163d4af755010552637e,77,77
21538,utt_4502e866faf2d3fab374::p0001-p0004,utt_4502e866faf2d3fab374::p0001-p0004,20a8a01c03ddaadc0de788185c871ac7083eb976899072bbca9a19fa0731b5a8,20a8a01c03ddaadc0de788185c871ac7083eb976899072bbca9a19fa0731b5a8,103,103
21538,utt_7d90e763ba6d613a3944::p0001,utt_7d90e763ba6d613a3944::p0001,6bf2966a474e67519b30b307cb4ea1b0bac05c12a9953262fe6e68179148ed28,6bf2966a474e67519b30b307cb4ea1b0bac05c12a9953262fe6e68179148ed28,72,72
21538,utt_7d90e763ba6d613a3944::p0002,utt_7d90e763ba6d613a3944::p0002,21d112a7229aa57669437d860c0d360a029e1930a7ef28468182302dd4018a45,21d112a7229aa57669437d860c0d360a029e1930a7ef28468182302dd4018a45,91,91
21538,utt_7d90e763ba6d613a3944::p0003,utt_7d90e763ba6d613a3944::p0003,c71d039474558049877f3df72da1bcc489b36990826b66e40cc4b91b5fa2040e,c71d039474558049877f3df72da1bcc489b36990826b66e40cc4b91b5fa2040e,59,59
21538,utt_7d90e763ba6d613a3944::p0004-p0005,utt_7d90e763ba6d613a3944::p0004-p0005,d09a4f997337b40af8e58f227a4b88dd781e90fcdde836e04e9bb58af89ffab4,d09a4f997337b40af8e58f227a4b88dd781e90fcdde836e04e9bb58af89ffab4,125,125
