run_id,run_role,sample_index,unit_id,response_id,model,status,api_status,incomplete_reason,usage_available,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,response_path,response_sha256,request_sha256,started_at_utc,finished_at_utc,duplicate_response_id
pilot_f3a69c2f81c587271ef5,pilot,172,utt_ea2b843f01c152f1cf0a::p0005s001,resp_00052d93f3f0dfa0016aa06aecf42887d1b7a8d6b8e50c67ac,gpt-5.6-luna,completed,completed,,True,6159,5336,308,206,6467,output/annotations/pilot_f3a69c2f81c587271ef5/results/00172.json,cbcc90e03c64dd8c8320c18578b15a57c73a2bd957757a04cd1b1d566c862041,7d00b00ce280cdb8dcf5576031eae253d803b850fe28bdc8a49ed9a4807e5d14,2026-09-08T20:07:08.778929+00:00,2026-09-08T20:07:13.951464+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,173,utt_ea2b843f01c152f1cf0a::p0005s002-p0006,resp_0e6290420d8f6fd2016aa06aef42b487d1bd08468e3c5fc35e,gpt-5.6-luna,completed,completed,,True,6044,5336,287,193,6331,output/annotations/pilot_f3a69c2f81c587271ef5/results/00173.json,249ca5ebcb3e1b86a8c3a0cab614af4fb792fe3b839e11e8f5db545001e65f0c,97e16bb7f59dcb2a60123c918d1535eb0b69b511f04323dc1a0c1ce46d4d8f3b,2026-09-08T20:07:11.101634+00:00,2026-09-08T20:07:15.899409+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,174,utt_69387ded88ff16da2d63::p0001-p0003,resp_02c80e64497aef7d016aa06af21fa487d1abd23532bf1365a7,gpt-5.6-luna,completed,completed,,True,6128,5336,269,178,6397,output/annotations/pilot_f3a69c2f81c587271ef5/results/00174.json,ae74824cf61af6047998647c9a8083cc8fd379d8f8e1162224888896da99cdb2,85693d5458f643b9cfbbaddf8a9eaa1a1e60c56debca10b4c977faca2113ae9c,2026-09-08T20:07:13.956276+00:00,2026-09-08T20:07:18.369932+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,175,utt_326222f5c9b2495b47ed::p0001-p0003s001,resp_0ca0ee82cd3452ef016aa06af4100487d1ac19c3a6a5a9df27,gpt-5.6-luna,completed,completed,,True,6126,5336,611,516,6737,output/annotations/pilot_f3a69c2f81c587271ef5/results/00175.json,9625d31f4e17a245539d81d0818fa692641a75008ffa12f1c65d2d1ef6985086,40c166cf88f66dedd79740595f996c92c9cd66ab471ac0f6e48cdc850fc9812e,2026-09-08T20:07:15.903221+00:00,2026-09-08T20:07:23.879775+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,176,utt_326222f5c9b2495b47ed::p0003s002-p0004,resp_0b3fdba4137c6fd7016aa06af6a04487d1b76bca110f327860,gpt-5.6-luna,completed,completed,,True,6279,5336,369,257,6648,output/annotations/pilot_f3a69c2f81c587271ef5/results/00176.json,b0393499ab336ca9be81b552bb67fe256107b262400e88983ecadd2e8c144e1c,5dd3e84d39619bfc3d3cafc43e1be20a4daf1cc000ff66d9d5104ff642c74489,2026-09-08T20:07:18.375787+00:00,2026-09-08T20:07:23.974630+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,177,utt_326222f5c9b2495b47ed::p0005s001,resp_0d259a55bcc42f09016aa06af7810c87d1a7a74982e75e90d7,gpt-5.6-luna,completed,completed,,True,6165,5336,440,329,6605,output/annotations/pilot_f3a69c2f81c587271ef5/results/00177.json,14fede9bb50ca44978e3c6145b5f03f94c8811c10c3568ea30faf1760838131b,4939169f480edcb420101b5108655bd3b172c36472076668916bc65f57a6cba2,2026-09-08T20:07:18.877799+00:00,2026-09-08T20:07:25.697180+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,178,utt_326222f5c9b2495b47ed::p0005s002-p0006,resp_0431df0524c3f86c016aa06afc0ac887d19b1518c6cedeeb1c,gpt-5.6-luna,completed,completed,,True,6012,5336,304,203,6316,output/annotations/pilot_f3a69c2f81c587271ef5/results/00178.json,f06a502b9aeea55421bd58e851140bd02ee55e49555e86f857aa5741bd8af828,4e3f150ce468bc237d2a47a4522b493d330eb8fe79ac0f275e64214d0188b9b2,2026-09-08T20:07:23.884665+00:00,2026-09-08T20:07:28.811678+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,179,utt_f9920ba262dfd719cd3f::p0001-p0003,resp_0a0d941abb21177d016aa06afc29d087d1aa79169213521a75,gpt-5.6-luna,completed,completed,,True,5640,5336,406,316,6046,output/annotations/pilot_f3a69c2f81c587271ef5/results/00179.json,10f454b79ac3a97575d39838b2fc4d52700147a9121cf14ee952f566212dde20,e38a6d60a4b4d40fb7a5d3f8a5d656817cd4f48f9b9ce5eceb37bc29f417125b,2026-09-08T20:07:23.979168+00:00,2026-09-08T20:07:29.638637+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,180,utt_3ce734835c29b694cdf6::p0001-p0004,resp_04804f62965f7dba016aa06afde12c87d196578c6d4b23cc86,gpt-5.6-luna,completed,completed,,True,6094,5336,402,290,6496,output/annotations/pilot_f3a69c2f81c587271ef5/results/00180.json,f844ced72d09cfd8a03c1ee3e66ca0dd9976220e92fca9e7325f5b423c1ddafc,577fe69fa0cbb85558265afd46c0647a2e924c9b22dfce9336d3be5d68bbdbe0,2026-09-08T20:07:25.700449+00:00,2026-09-08T20:07:31.912794+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,181,utt_024ff50c232258d48119::p0001-p0003s001,resp_0152c003b90255aa016aa06b00fb6c87d1959fb044dd66f76a,gpt-5.6-luna,completed,completed,,True,6090,5336,434,320,6524,output/annotations/pilot_f3a69c2f81c587271ef5/results/00181.json,be2dddaa90831dccfb9c3644dcae1b2805202ba6b8e7e70dfcba49a3305a314f,00757b61ce8fba601e0ca6d7d544bb64396e534ee1307b4746ce3bc4b4adaa09,2026-09-08T20:07:28.816121+00:00,2026-09-08T20:07:35.273875+00:00,False
