username;link;party;location;function;since;until
Astrid_Ens;twitter.com/Astrid_Ens;vvd;;;;
EugenieStolk;twitter.com/EugenieStolk;pvda;;;;
AnnetKrijgsman;twitter.com/AnnetKrijgsman;pvda;;;;
BijkerJ;twitter.com/BijkerJ;sp;;;;
Teaumas;twitter.com/Teaumas;d66;;;;
Jan_Anthonie;twitter.com/Jan_Anthonie;vvd;;;;
ruardganzevoort;twitter.com/ruardganzevoort;gl;;;;
floragoudappel;twitter.com/floragoudappel;pvda;;;;
gertjankats;twitter.com/gertjankats;sgp;;;;
djhvandijk;twitter.com/djhvandijk;sgp;;;;
Tineke_Strik;twitter.com/Tineke_Strik;gl;;;;
peterkwint;twitter.com/peterkwint;sp;;;;
SimionBlom;twitter.com/SimionBlom;gl;amsterdam;;;
GroenLinks020;twitter.com/GroenLinks020;gl;;;;
DilanYesilgoz;twitter.com/DilanYesilgoz;vvd;;;;
VVDAmsterdam;twitter.com/VVDAmsterdam;vvd;;;;
DennisBoutkan;twitter.com/DennisBoutkan;pvda;amsterdam;;;2018
GroendeGrote;twitter.com/GroendeGrote;gl;amsterdam;;;
femkeroosma;twitter.com/femkeroosma;gl;amsterdam;;;
LeoBruijn;twitter.com/LeoBruijn;pvda;rotterdam;;;
AntonMolenaarLR;twitter.com/AntonMolenaarLR;leefbaar rotterdam;rotterdam;;;
RonaldBuijt;twitter.com/RonaldBuijt;leefbaar rotterdam;rotterdam;;;
QuerienVelter;twitter.com/QuerienVelter;sp;rotterdam;;;2017
KorrieLouwes;twitter.com/KorrieLouwes;d66;;;;2014
goncalves230766;twitter.com/goncalves230766;pvda;rotterdam;;;
BarbaraKathmann;twitter.com/BarbaraKathmann;pvda;rotterdam;;;
MvandeDonk;twitter.com/MvandeDonk;vvd;rotterdam;;;2017
RichardMoti;twitter.com/RichardMoti;pvda;;;;
KIESLIES;twitter.com/KIESLIES;gl;rotterdam;;;
MStruijvenberg;twitter.com/MStruijvenberg;leefbaar rotterdam;rotterdam;;;
m_de_boer;twitter.com/m_de_boer;cu;;;;2017
pvdarotterdam;twitter.com/pvdarotterdam;pvda;rotterdam;;;
engberts;twitter.com/engberts;pvda;rotterdam;;;
StelEsther;twitter.com/StelEsther;leefbaar rotterdam;rotterdam;;;
balstermartijn;twitter.com/balstermartijn;pvda;den haag;;;
Pieter_Grinwis;twitter.com/Pieter_Grinwis;cu;;;;
RSBaldewsingh;twitter.com/RSBaldewsingh;pvda;den haag;;;
eliasvanhees;twitter.com/eliasvanhees;pvv;;;;
FatimaFaid;twitter.com/FatimaFaid;artikel1;;;;
GroenLinksDH;twitter.com/GroenLinksDH;gl;den haag;partij;;
QueenyRaj;twitter.com/QueenyRaj;vvd;utrecht;;;
BouchraDibi;twitter.com/BouchraDibi;pvda;;;;
PvdDUtrecht;twitter.com/PvdDUtrecht;pvdd;utrecht;;;
sandervwaveren;twitter.com/sandervwaveren;cda;utrecht;Fractievoorzitter;;
MaartenOoijen;twitter.com/MaartenOoijen;cu;utrecht;Gemeenteraadslid;;
HeleBoer;twitter.com/HeleBoer;gl;utrecht;Fractievoorzitter;;
ArjanKleuver;twitter.com/ArjanKleuver;d66;utrecht;;;
MaartenKoning;twitter.com/MaartenKoning;d66;utrecht;Gemeenteraadslid;;
GroenLinks030;twitter.com/GroenLinks030;gl;;partij;;
MatthijsSienot;twitter.com/MatthijsSienot;d66;;;;
D66Utrecht;twitter.com/D66Utrecht;d66;utrecht;partij;;
VVDUtrecht;twitter.com/VVDUtrecht;vvd;utrecht;partij;;
pvdautrecht;twitter.com/pvdautrecht;pvda;utrecht;partij;;
emsent;twitter.com/emsent;pvda;;;;
ALBredenoord;twitter.com/ALBredenoord;d66;;;;
ArdaG;twitter.com/ArdaG;sp;;;;
daanwijnants;twitter.com/daanwijnants;vvd;amsterdam;;;
ReshmaRoopram;twitter.com/ReshmaRoopram;pvda;;;;
thierrybaudet;twitter.com/thierrybaudet;forumvoordemocratie;;;;
ncilla;twitter.com/ncilla;pp;;;;
LavieJanRoos;twitter.com/LavieJanRoos;vnl;;;;
MeierijstadGB;twitter.com/MeierijstadGB;gemeentebelang meierijstad;meierijstad;partij;;
LaurensVVoorst;twitter.com/LaurensVVoorst;hart voor schijndel;meierijstad;;;
PMHDowns;twitter.com/PMHDowns;pp;;;;
miesvandoorn;twitter.com/miesvandoorn;pvdd;;;;
JoramvKlaveren;twitter.com/JoramvKlaveren;vnl;;;;
AntjeDiertens;twitter.com/AntjeDiertens;d66;;;;
RichardvdBurgt;twitter.com/RichardvdBurgt;pvda;;;;
ElsRoumen;twitter.com/ElsRoumen;vp;;;;
JaapHaasnoot_KK;twitter.com/JaapHaasnoot_KK;50plus;;;;
mirthebiemans;twitter.com/mirthebiemans;pvda;;;;
Danielle_H_BE;twitter.com/Danielle_H_BE;gl;;;;
PattyHamerslag;twitter.com/PattyHamerslag;sp;;;;
MichielDulfer;twitter.com/MichielDulfer;pp;;;;
MustafaAmhaouch;twitter.com/MustafaAmhaouch;cda;;;;
LouRepetur;twitter.com/LouRepetur;pvda;;;;
GeertJeelof;twitter.com/GeertJeelof;forumvoordemocratie;;;;
havlieg;twitter.com/havlieg;cu;;;;
WimarBolhuis;twitter.com/WimarBolhuis;pvda;;;;
YerRamautarsing;twitter.com/YerRamautarsing;forumvoordemocratie;;;;
IlseRSmit;twitter.com/IlseRSmit;pvdd;;;;
sassenvanelsloo;twitter.com/sassenvanelsloo;vnl;;;;
bertpeterse;twitter.com/bertpeterse;sp;;;;
hvelzing;twitter.com/hvelzing;forumvoordemocratie;;;;
MarionvdKleij;twitter.com/MarionvdKleij;gl;;;;
TonHeerschop;twitter.com/TonHeerschop;sp;;;;
FransOerVla;twitter.com/FransOerVla;50plus;;;;
harryhaddering;twitter.com/harryhaddering;vp;;;;
gpeskens;twitter.com/gpeskens;pp;;;;
jimmydijk;twitter.com/jimmydijk;sp;;;;
rikgrashoff;twitter.com/rikgrashoff;gl;;;;
interminded;twitter.com/interminded;pp;;;;
andrevanwanrooy;twitter.com/andrevanwanrooy;50plus;;;;
DirkDubling;twitter.com/DirkDubling;vp;;;;
NevinOzutok;twitter.com/NevinOzutok;gl;;;;
cnijkerken;twitter.com/cnijkerken;vvd;;;;
ThomasRonnes;twitter.com/ThomasRonnes;pvda;;;;
RenePetersOss;twitter.com/RenePetersOss;cda;;;;
Lisawesterveld;twitter.com/Lisawesterveld;gl;;;;
larsjanssen_;twitter.com/larsjanssen_;pp;;;;
nilsmuller;twitter.com/nilsmuller;sp;;;;
SamirBashara;twitter.com/SamirBashara;gl;;;;
wielmae;twitter.com/wielmae;pp;;;;
ricobrouwer;twitter.com/ricobrouwer;pp;;;;
GerdoVanG;twitter.com/GerdoVanG;gl;;;;
BoswachterFrans;twitter.com/BoswachterFrans;gl;;;;
Cathelijne_GL;twitter.com/Cathelijne_GL;gl;;;;
hansboerwinkel;twitter.com/hansboerwinkel;sp;;;;
ewaldeng;twitter.com/ewaldeng;pvdd;;;;
N_is_Een;twitter.com/N_is_Een;pp;;;;
HuubBellemakers;twitter.com/HuubBellemakers;gl;;;;
DennisWiersma;twitter.com/DennisWiersma;vvd;;;;
WytskedePater;twitter.com/WytskedePater;cda;;;;
Roelof;twitter.com/Roelof;pvda;;;;
jhmarseille;twitter.com/jhmarseille;pp;;;;
AhmedAarad;twitter.com/AhmedAarad;geenpeil;;;;
har_reits;twitter.com/har_reits;de-ondernemerspartij;;;;
woodclan;twitter.com/woodclan;de-ondernemerspartij;;;;
marceldedood;twitter.com/marceldedood;geenpeil;;;;
AlptekinAkdogan;twitter.com/AlptekinAkdogan;geenpeil;;;;
chantalklaver;twitter.com/chantalklaver;geenpeil;;;;
MvRooijen;twitter.com/MvRooijen;50plus;;;;
Yvonbrinkerink;twitter.com/Yvonbrinkerink;ms-bip-vr;;;;
rob_vellekoop;twitter.com/rob_vellekoop;ms-bip-vr;;;;
royal32a;twitter.com/royal32a;lokaal-in-de-kamer;;;;
JWilshaus;twitter.com/JWilshaus;de-burger-beweging;;;;
janlona;twitter.com/janlona;d66;;;;
jLangenacker;twitter.com/jLangenacker;pvda;;;;
cwmjongmans;twitter.com/cwmjongmans;pvda;;;;
ankesiegers;twitter.com/ankesiegers;de-burger-beweging;;;;
SylvieJacobs;twitter.com/SylvieJacobs;ms-bip-vr;;;;
BertKroek;twitter.com/BertKroek;ms-bip-vr;;;;
GerardKuijpers;twitter.com/GerardKuijpers;vp;;;;
DicoBaars;twitter.com/DicoBaars;cu;;;;
MarioStam;twitter.com/MarioStam;pvda;;;;
FindingVoices;twitter.com/FindingVoices;de-burger-beweging;;;;
Ninavdburgt;twitter.com/Ninavdburgt;de-burger-beweging;;;;
ErikaMauritz;twitter.com/ErikaMauritz;ms-bip-vr;;;;
paulajorritsma;twitter.com/paulajorritsma;pvda;;;;
hvsteenbergen;twitter.com/hvsteenbergen;de-burger-beweging;;;;
RositaSP;twitter.com/RositaSP;sp;;;;
casperkloos;twitter.com/casperkloos;lokaal-in-de-kamer;;;;
kuiper2010;twitter.com/kuiper2010;ms-bip-vr;;;;
jolandakirp;twitter.com/jolandakirp;de-burger-beweging;;;;
Pieterhilhorst;twitter.com/Pieterhilhorst;pvda;;;;
stralingsvrij;twitter.com/stralingsvrij;de-burger-beweging;;;;
lexhupe;twitter.com/lexhupe;de-burger-beweging;;;;
GinnekenJos;twitter.com/GinnekenJos;cda;;;;
JohanKruithof;twitter.com/JohanKruithof;pvda;;;;
WallingaEd;twitter.com/WallingaEd;pvda;;;;
bertbeun;twitter.com/bertbeun;cda;;;;
HerremaTjeerd;twitter.com/HerremaTjeerd;pvda;;;;
hansverbraak;twitter.com/hansverbraak;cda;;;;
BiancaVerweij;twitter.com/BiancaVerweij;sp;;;;
Jelle_De_Graaf;twitter.com/Jelle_De_Graaf;pp;amsterdam;;;
ferdgrapperhaus;twitter.com/ferdgrapperhaus;cda;;;;
