username;link;party;location;function;since;until
Kloosterboer;twitter.com/Kloosterboer;sp;apeldoorn;;;
KleinNorbert;twitter.com/KleinNorbert;vp;;;;
magdaberndsen;twitter.com/magdaberndsen;d66;;;;
SadetKarabulut;twitter.com/SadetKarabulut;sp;;;;
paululenbelt;twitter.com/paululenbelt;sp;;;;
2eKamertweets;twitter.com/2eKamertweets;tweede-kamer;;;;
SjoerdPotters;twitter.com/SjoerdPotters;vvd;;;;
JohnKerstens;twitter.com/JohnKerstens;pvda;;;;
henknijboer;twitter.com/henknijboer;pvda;;;;
BrigittevdB;twitter.com/BrigittevdB;vvd;;;;
TonElias;twitter.com/TonElias;vvd;;;;
helmanepperus;twitter.com/helmanepperus;vvd;;;;
elbertdijkgraaf;twitter.com/elbertdijkgraaf;sgp;;;;
svanweyenberg;twitter.com/svanweyenberg;d66;;;;
keklikyucel;twitter.com/keklikyucel;pvda;;;;
hvbommel;twitter.com/hvbommel;sp;;;;
NineKooiman;twitter.com/NineKooiman;sp;;;;
Vera_Bergkamp;twitter.com/Vera_Bergkamp;d66;;;;
HelmaLodders;twitter.com/HelmaLodders;vvd;;;;
vanHijum;twitter.com/vanHijum;cda;;;;
remcovvd;twitter.com/remcovvd;vvd;;;;
meilivos;twitter.com/meilivos;pvda;;;;
HenkKrol;twitter.com/HenkKrol;50plus;;;;
PieterOmtzigt;twitter.com/PieterOmtzigt;cda;;;;
diederiksamsom;twitter.com/diederiksamsom;pvda;;;;
mariannethieme;twitter.com/mariannethieme;pvdd;;;;
MirjamWulfse;twitter.com/MirjamWulfse;vvd;;;;
erikderidder;twitter.com/erikderidder;cda;;;;
Gerbijl;twitter.com/Gerbijl;inwonersbelang;;;;
AnnemiekdeCrom;twitter.com/AnnemiekdeCrom;gl;amersfoort;;;
HarrevdNat;twitter.com/HarrevdNat;sp;;;;
PMdeVos;twitter.com/PMdeVos;sp;;;;
PIETWANROOIJ;twitter.com/PIETWANROOIJ;pvda;;;;
JandeGeus;twitter.com/JandeGeus;d66;;;;
Ton_vanden_Berg;twitter.com/Ton_vanden_Berg;sp;almere;Gemeenteraadslid;;
PGWelman;twitter.com/PGWelman;cda;enschede;;;
cvrooijen;twitter.com/cvrooijen;gl;;;;
MPVissers;twitter.com/MPVissers;sp;;;;
ElinedeKoning;twitter.com/ElinedeKoning;pvda;Leeuwarden;Gemeenteraadslid;;
RonaldCamstra;twitter.com/RonaldCamstra;gl;zeist;Fractievoorzitter;;
groenlinks055;twitter.com/groenlinks055;gl;apeldoorn;partij;;
detrompettist;twitter.com/detrompettist;cda;;;;
ClaessensCMJP;twitter.com/ClaessensCMJP;cda;;;;
groen;twitter.com/groen;groen;;;;
KasVanpoucke;twitter.com/KasVanpoucke;spa;;;;
henkbeerten;twitter.com/henkbeerten;d66;nl;;;
jan_bert;twitter.com/jan_bert;d66;Amsterdam;Gemeenteraadslid;;
Titialeeuwen;twitter.com/Titialeeuwen;gl;;;;
willemjoustra;twitter.com/willemjoustra;vvd;;;;
YuriAnkone;twitter.com/YuriAnkone;d66;oldenzaal;;;2017
pebrink;twitter.com/pebrink;cu;putten;;;
lelystadlokaal;twitter.com/lelystadlokaal;;lelystad;;;
groenlinkser;twitter.com/groenlinkser;gl;itteren;wethouder;;
mmulder1972;twitter.com/mmulder1972;sp;;;;
msaraswati;twitter.com/msaraswati;groen;gent;Gemeenteraadslid;;
ThomasVO;twitter.com/ThomasVO;groen;leuven;Gemeenteraadslid;;
PimSiegers;twitter.com/PimSiegers;sp;;;;
elkevdbrandt;twitter.com/elkevdbrandt;groen;brussel;Gemeenteraadslid;;
ElinevdBoogaard;twitter.com/ElinevdBoogaard;pvda;dordrecht;statenlid;;2013
JanvdMeer;twitter.com/JanvdMeer;gl;;;;
cdenv;twitter.com/cdenv;cdv;be;partij;;
lianneduiven;twitter.com/lianneduiven;gl;lingewaard;Fractievoorzitter;;
PauldeBeerD66;twitter.com/PauldeBeerD66;d66;breda;wethouder;;
_Hagar;twitter.com/_Hagar;gl;;;;
tiersbakker;twitter.com/tiersbakker;sp;amsterdam;Gemeenteraadslid;;
DennisRam;twitter.com/DennisRam;pvv;;;;
micheleggermont;twitter.com/micheleggermont;sp;utrecht;;;
CvanBrenk;twitter.com/CvanBrenk;50plus;;;;
amelewe;twitter.com/amelewe;sp;;;;
MarellaLute;twitter.com/MarellaLute;vlp;roosendaal;;;2017
Theunis48;twitter.com/Theunis48;cda;utrecht;;2014;2018
ReneDercksen;twitter.com/ReneDercksen;pvv;;;;
digilis;twitter.com/digilis;vvd;utrecht;Fractievoorzitter;;
fritsdekaart;twitter.com/fritsdekaart;pvda;;;;
PVVKesteren;twitter.com/PVVKesteren;pvv;;;;
wjvanderzanden;twitter.com/wjvanderzanden;gl;oosterhout;Gemeenteraadslid;;
MPerton;twitter.com/MPerton;d66;raalte;;;
baltussen;twitter.com/baltussen;;;;;
JohnSwelsen;twitter.com/JohnSwelsen;gl;arnhem;;;2013
Nourdin_;twitter.com/Nourdin_;nida;rotterdam;;;
FAJPeters;twitter.com/FAJPeters;vvd;gelderland;statenlid;;
LaradeBrito;twitter.com/LaradeBrito;gl;wageningen;alderman;;
AngeliqueCDA;twitter.com/AngeliqueCDA;cda;;;;
