source_row_index,document_uri,title,date,local_speaker_id,speaker_href,person_id,speaker_name,name_key,document_person_key,local_id_reused_across_people,stable_person_uses_multiple_local_ids,stable_person_has_name_conflict
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per35,http://datos.bcn.cl/recurso/persona/4598,4598,eduardo alfredo duran salinas,EDUARDO ALFREDO DURAN SALINAS,http://datos.bcn.cl/recurso/cl/documento/704142#per35,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per37,http://datos.bcn.cl/recurso/persona/2208,2208,miguel luis lagos lagos,MIGUEL LUIS LAGOS LAGOS,http://datos.bcn.cl/recurso/cl/documento/704142#per37,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per4,http://datos.bcn.cl/recurso/persona/4596,4596,camila ruzlay rojas valderrama,CAMILA RUZLAY ROJAS VALDERRAMA,http://datos.bcn.cl/recurso/cl/documento/704142#per4,False,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per9,http://datos.bcn.cl/recurso/persona/1782,1782,jaime mulet martinez,JAIME MULET MARTINEZ,http://datos.bcn.cl/recurso/cl/documento/704142#per9,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per2,http://datos.bcn.cl/recurso/persona/4510,4510,daniella valentina cicardini milla,DANIELLA VALENTINA CICARDINI MILLA,http://datos.bcn.cl/recurso/cl/documento/704142#per2,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per95,http://datos.bcn.cl/recurso/persona/5270,5270,gustavo benavente vergara,GUSTAVO BENAVENTE VERGARA,http://datos.bcn.cl/recurso/cl/documento/704142#per95,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per78,http://datos.bcn.cl/recurso/persona/1057,1057,mauricio raul rettig guissen,MAURICIO RAUL RETTIG GUISSEN,http://datos.bcn.cl/recurso/cl/documento/704142#per78,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per140,http://datos.bcn.cl/recurso/persona/1700,1700,cesar raul fuentes venegas,CESAR RAUL FUENTES VENEGAS,http://datos.bcn.cl/recurso/cl/documento/704142#per140,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per34,http://datos.bcn.cl/recurso/persona/1646,1646,david sergio sandoval plaza,DAVID SERGIO SANDOVAL PLAZA,http://datos.bcn.cl/recurso/cl/documento/704142#per34,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per64,http://datos.bcn.cl/recurso/persona/5230,5230,luis alberto cuello pena y lillo,LUIS ALBERTO CUELLO PENA Y LILLO,http://datos.bcn.cl/recurso/cl/documento/704142#per64,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per70,http://datos.bcn.cl/recurso/persona/5233,5233,henry leal bizama,HENRY LEAL BIZAMA,http://datos.bcn.cl/recurso/cl/documento/704142#per70,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per39,http://datos.bcn.cl/recurso/persona/5234,5234,miguel becker alvear,MIGUEL BECKER ALVEAR,http://datos.bcn.cl/recurso/cl/documento/704142#per39,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per111,http://datos.bcn.cl/recurso/persona/5231,5231,andres jouannet valderrama,ANDRES JOUANNET VALDERRAMA,http://datos.bcn.cl/recurso/cl/documento/704142#per111,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per104,http://datos.bcn.cl/recurso/persona/5232,5232,ruben dario oyarzo figueroa,RUBEN DARIO OYARZO FIGUEROA,http://datos.bcn.cl/recurso/cl/documento/704142#per104,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per115,http://datos.bcn.cl/recurso/persona/5237,5237,juan beltran silva,JUAN BELTRAN SILVA,http://datos.bcn.cl/recurso/cl/documento/704142#per115,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per114,http://datos.bcn.cl/recurso/persona/4804,4804,fernando tirado soto,FERNANDO TIRADO SOTO,http://datos.bcn.cl/recurso/cl/documento/704142#per114,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per56,http://datos.bcn.cl/recurso/persona/4755,4755,amaya alvez marin,AMAYA ALVEZ MARIN,http://datos.bcn.cl/recurso/cl/documento/704142#per56,True,False,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per74,http://datos.bcn.cl/recurso/persona/5066,5066,luis heriberto macias demarchi,LUIS HERIBERTO MACIAS DEMARCHI,http://datos.bcn.cl/recurso/cl/documento/704142#per74,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per66,http://datos.bcn.cl/recurso/persona/4624,4624,juan ruben santana castillo,JUAN RUBEN SANTANA CASTILLO,http://datos.bcn.cl/recurso/cl/documento/704142#per66,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per6,http://datos.bcn.cl/recurso/persona/4622,4622,gael fernanda yeomans araya,GAEL FERNANDA YEOMANS ARAYA,http://datos.bcn.cl/recurso/cl/documento/704142#per6,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per10,http://datos.bcn.cl/recurso/persona/5103,5103,jeannette isabel andrade ruiz,JEANNETTE ISABEL ANDRADE RUIZ,http://datos.bcn.cl/recurso/cl/documento/704142#per10,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per80,http://datos.bcn.cl/recurso/persona/4222,4222,michelle bachelet jeria,MICHELLE BACHELET JERIA,http://datos.bcn.cl/recurso/cl/documento/704142#per80,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per105,http://datos.bcn.cl/recurso/persona/5242,5242,karen medina vasquez,KAREN MEDINA VASQUEZ,http://datos.bcn.cl/recurso/cl/documento/704142#per105,True,True,False
1,http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,per101,http://datos.bcn.cl/recurso/persona/246,246,monica beatriz zalaquett said,MONICA BEATRIZ ZALAQUETT SAID,http://datos.bcn.cl/recurso/cl/documento/704142#per101,True,True,False
