document_uri,reference_date,person_href,speaker,automatic_status,automatic_candidates,resolution,party_at_date,party_at_date_href,evidence_url,evidence_note,reviewed_by,reviewed_at
http://datos.bcn.cl/recurso/cl/documento/696951,2022-01-24,http://datos.bcn.cl/recurso/persona/3688,Alejandro Navarro Brain,ambiguous,http://datos.bcn.cl/recurso/persona/3688/militancia/10842 | http://datos.bcn.cl/recurso/persona/3688/militancia/10840,confirmed,País Progresista,,https://observatoriocongreso.cl/wp-content/uploads/2022/09/Informe-Analisis-Anuario-Congreso-Nacional.pdf,Activo en País Progresista hasta el fin de su periodo senatorial en marzo de 2022.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/696951,2022-01-24,http://datos.bcn.cl/recurso/persona/4593,Carmen Gloria Aravena Acuña,not_found,,nonpartisan,Independiente,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Carmen_Gloria_Aravena_Acu%C3%B1a,Renunció a Evópoli en 2019 y se incorporó al Partido Republicano en enero de 2023.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/698998,2022-01-26,http://datos.bcn.cl/recurso/persona/4558,Álvaro Carter Fernández,not_found,,nonpartisan,Independiente,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/%C3%81lvaro_Jorge_Carter_Fern%C3%A1ndez,Asumió el periodo 2022-2026 como independiente y militó en Republicanos desde marzo de 2025.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/704058,2024-01-24,http://datos.bcn.cl/recurso/persona/4603,Harry Jürgensen Rundshagen,not_found,,nonpartisan,Independiente,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Harry_Kurt_Thomas_Jurgensen_Rundshagen,Firmó su militancia en Partido Republicano el 11 de junio de 2025.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/706982,2025-01-27,http://datos.bcn.cl/recurso/persona/5303,Paulina Vodanovic Rojas,not_found,,confirmed,Partido Socialista de Chile,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Paulina_Vodanovic_Rojas,Militante del Partido Socialista desde 1989.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/706988,2025-01-29,http://datos.bcn.cl/recurso/persona/4558,Álvaro Carter Fernández,not_found,,nonpartisan,Independiente,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/%C3%81lvaro_Jorge_Carter_Fern%C3%A1ndez,Ingresó a la bancada Republicana en marzo de 2025 y militó desde ese mes.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/706988,2025-01-29,http://datos.bcn.cl/recurso/persona/4579,Sofía Cid Versalovic,not_found,,nonpartisan,Independiente,,https://obtienearchivo.bcn.cl/obtienearchivo?id=recursoslegales%2F10221.3%2F78644%2F1%2FC20250113_126.pdf,BCN la registra como IND el 13 de enero de 2025; su ingreso a Republicanos fue posterior durante 2025.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/706988,2025-01-29,http://datos.bcn.cl/recurso/persona/4603,Harry Jürgensen Rundshagen,not_found,,nonpartisan,Independiente,,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Harry_Kurt_Thomas_Jurgensen_Rundshagen,Firmó su militancia en Partido Republicano el 11 de junio de 2025.,Ismael Aguayo,2026-09-19
http://datos.bcn.cl/recurso/cl/documento/706988,2025-01-29,http://datos.bcn.cl/recurso/persona/4740,Roberto Celedón Fernández,not_found,,nonpartisan,Independiente,,https://www.bcn.cl/historiapolitica/convencionales_constituyentes/ficha/Roberto_Celed%C3%B3n_Fern%C3%A1ndez,Su reseña BCN indica participación política desde la independencia partidaria desde 1996.,Ismael Aguayo,2026-09-19
