document_uri,expected_title,expected_date,bill_number,speech_source,quality_status,source_present,title_matches,date_matches,source_xml_nonempty,source_text_nonempty,akn_status,speech_rows,participation_rows,analytical_transcription_event_rows,full_rows,transcription_event_rows,overlap_event_rows,separator_event_rows,empty_content_rows,missing_date_rows,missing_uri_rows,unexpected_bill_rows,duplicate_item_path_rows,duplicate_row_index_rows,duplicate_utterance_id_rows,duplicate_utterance_order_rows,n_chars_mismatch_rows,unresolved_identity_rows,unstable_bcn_speaker_id_rows,local_primary_speaker_id_rows,unresolved_content_rows,parse_warning_rows,discussion_rows,voting_rows,analytical_voting_rows,identity_only_speaker_rows,missing_speaker_data_rows,issues,warnings
http://datos.bcn.cl/recurso/cl/documento/706791,1.1. Mensaje,2022-11-07,15480-13,history_xml,pass,True,True,True,True,True,valid_xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[]
http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,15480-13,akn,pass,True,True,True,True,True,valid_xml,102,63,39,146,39,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,[],[]
http://datos.bcn.cl/recurso/cl/documento/704058,1.13. Discusión en Sala,2024-01-24,15480-13,akn,pass,True,True,True,True,True,valid_xml,342,261,81,440,81,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,[],[]
http://datos.bcn.cl/recurso/cl/documento/706982,2.4. Discusión en Sala,2025-01-27,15480-13,akn,warning,True,True,True,True,True,valid_xml,306,254,52,372,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,[],['unresolved_content_rows=1']
http://datos.bcn.cl/recurso/cl/documento/706988,3.1. Discusión en Sala,2025-01-29,15480-13,history_xml_fallback,pass,True,True,True,True,True,error,276,196,80,541,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,121,0,48,0,[],[]
