document_uri,expected_title,expected_date,bill_number,legislative_stage,chamber,corpus_role,speech_source,include_in_speech_pipeline
http://datos.bcn.cl/recurso/cl/documento/706791,1.1. Mensaje,2022-11-07,15480-13,primer trámite,Cámara de Diputadas y Diputados,initial_message,history_xml,false
http://datos.bcn.cl/recurso/cl/documento/704142,1.12. Discusión en Sala,2024-01-23,15480-13,primer trámite,Cámara de Diputadas y Diputados,floor_debate,akn,true
http://datos.bcn.cl/recurso/cl/documento/704058,1.13. Discusión en Sala,2024-01-24,15480-13,primer trámite,Cámara de Diputadas y Diputados,floor_debate,akn,true
http://datos.bcn.cl/recurso/cl/documento/706982,2.4. Discusión en Sala,2025-01-27,15480-13,segundo trámite,Senado,floor_debate,akn,true
http://datos.bcn.cl/recurso/cl/documento/706988,3.1. Discusión en Sala,2025-01-29,15480-13,tercer trámite,Cámara de Diputadas y Diputados,floor_debate,history_xml_fallback,true
