document_uri,expected_title,expected_date,bill_number,legislative_stage,chamber,corpus_role,speech_source,include_in_speech_pipeline
http://datos.bcn.cl/recurso/cl/documento/700181,1.4. Discusión en Sala,2023-01-05,15625-13,primer trámite,Cámara de Diputadas y Diputados,floor_debate,akn,True
http://datos.bcn.cl/recurso/cl/documento/700224,2.3. Discusión en Sala,2023-01-18,15625-13,segundo trámite,Senado,floor_debate,akn,True
