law_number,status,bloques,anotaciones,tokens_entrada,tokens_salida,tokens_razonamiento
21419,completed,1,0,5926,326,220
21419,pending,118,0,0,0,0
21538,pending,32,0,0,0,0
21735,pending,267,0,0,0,0
